Loki,"
Action, Adventure, Fantasy            ",['(2021– )']

Sweet Tooth,"
Action, Adventure, Drama            ",['(2021– )']

A Quiet Place Part II,"
Drama, Horror, Sci-Fi            ",['(2020)']

The Handmaid's Tale,"
Drama, Sci-Fi, Thriller            ",['(2017– )']

Infinite,"
Sci-Fi, Thriller            ",['(2021)']

Army of the Dead,"
Action, Crime, Horror            ",['(2021)']

Awake,"
Action, Adventure, Drama            ",['(III) (2021)']

Reminiscence,"
Mystery, Romance, Sci-Fi            ",['(2021)']

A Quiet Place,"
Drama, Horror, Sci-Fi            ",['(2018)']

Invincible,"
Animation, Action, Adventure            ",['(2021– )']

The Boys,"
Action, Comedy, Crime            ",['(2019– )']

Space Jam: A New Legacy,"
Animation, Adventure, Comedy            ",['(2021)']

Manifest,"
Drama, Mystery, Sci-Fi            ",['(2018– )']

Stranger Things,"
Drama, Fantasy, Horror            ",['(2016– )']

The Flash,"
Action, Adventure, Drama            ",['(2014– )']

Jupiter's Legacy,"
Action, Adventure, Drama            ",['(2021)']

Fear the Walking Dead,"
Drama, Horror, Sci-Fi            ",['(2015– )']

Star Wars: The Bad Batch,"
Animation, Action, Adventure            ",['(2021– )']

The Nevers,"
Action, Drama, Fantasy            ",['(2021– )']

WandaVision,"
Action, Comedy, Drama            ",['(2021)']

War of the Worlds,"
Drama, Mystery, Sci-Fi            ",['(2019– )']

The Falcon and the Winter Soldier,"
Action, Adventure, Drama            ",['(2021)']

Spider-Man: No Way Home,"
Action, Adventure, Sci-Fi            ",['(2021)']

Tenet,"
Action, Sci-Fi, Thriller            ",['(2020)']

The Mandalorian,"
Action, Adventure, Sci-Fi            ",['(2019– )']

Zack Snyder's Justice League,"
Action, Adventure, Fantasy            ",['(2021)']

The Matrix 4,"
Action, Sci-Fi            ",['(2021)']

Rick and Morty,"
Animation, Adventure, Comedy            ",['(2013– )']

Godzilla vs. Kong,"
Action, Sci-Fi, Thriller            ",['(2021)']

The Mitchells vs the Machines,"
Animation, Adventure, Comedy            ",['(2021)']

Black Widow,"
Action, Adventure, Sci-Fi            ",['(2021)']

Eternals,"
Action, Adventure, Drama            ",['(2021)']

Love, Death & Robots,"
Animation, Short, Comedy            ",['(2019– )']

Superman and Lois,"
Action, Adventure, Drama            ",['(2021– )']

