Loki,^^^Action, Adventure, Fantasy^^^2021
Sweet Tooth^^^Action, Adventure, Drama^^^2021
A Quiet Place Part II^^^Drama, Horror, Sci-Fi^^^2020
The Handmaid's Tale^^^Drama, Sci-Fi, Thriller^^^2017
Infinite^^^Sci-Fi, Thriller^^^2021
Army of the Dead^^^Action, Crime, Horror^^^2021
Awake^^^Action, Adventure, Drama^^^2021
Reminiscence^^^Mystery, Romance, Sci-Fi^^^2021
A Quiet Place^^^Drama, Horror, Sci-Fi^^^2018
Invincible^^^Animation, Action, Adventure^^^2021
The Boys^^^Action, Comedy, Crime^^^2019
Space Jam: A New Legacy^^^Animation, Adventure, Comedy^^^2021
Manifest^^^Drama, Mystery, Sci-Fi^^^2018
Stranger Things^^^Drama, Fantasy, Horror^^^2016
The Flash^^^Action, Adventure, Drama^^^2014
Jupiter's Legacy^^^Action, Adventure, Drama^^^2021
Fear the Walking Dead^^^Drama, Horror, Sci-Fi^^^2015
Star Wars: The Bad Batch^^^Animation, Action, Adventure^^^2021
The Nevers^^^Action, Drama, Fantasy^^^2021
WandaVision^^^Action, Comedy, Drama^^^2021
War of the Worlds^^^Drama, Mystery, Sci-Fi^^^2019
The Falcon and the Winter Soldier^^^Action, Adventure, Drama^^^2021
Spider-Man: No Way Home^^^Action, Adventure, Sci-Fi^^^2021
Tenet^^^Action, Sci-Fi, Thriller^^^2020
The Mandalorian^^^Action, Adventure, Sci-Fi^^^2019
Zack Snyder's Justice League^^^Action, Adventure, Fantasy^^^2021
The Matrix 4^^^Action, Sci-Fi^^^2021
Rick and Morty^^^Animation, Adventure, Comedy^^^2013
Godzilla vs. Kong^^^Action, Sci-Fi, Thriller^^^2021
The Mitchells vs the Machines^^^Animation, Adventure, Comedy^^^2021
Black Widow^^^Action, Adventure, Sci-Fi^^^2021
Eternals^^^Action, Adventure, Drama^^^2021
Love, Death & Robots^^^Animation, Short, Comedy^^^2019
Superman and Lois^^^Action, Adventure, Drama^^^2021
Black Mirror^^^Drama, Sci-Fi, Thriller^^^2011
Mortal Kombat^^^Action, Adventure, Fantasy^^^2021
Lost^^^Adventure, Drama, Fantasy^^^2004
Avengers: Endgame^^^Action, Adventure, Drama^^^2019
See^^^Action, Drama, Sci-Fi^^^2019
Masters of the Universe: Revelation^^^Animation, Action, Adventure^^^2021
The 100^^^Drama, Mystery, Sci-Fi^^^2014
Doctor Who^^^Adventure, Drama, Family^^^2005
Westworld^^^Drama, Mystery, Sci-Fi^^^2016
Free Guy^^^Action, Comedy, Sci-Fi^^^2021
Jurassic World: Dominion^^^Action, Adventure, Sci-Fi^^^2022
Dune^^^Adventure, Drama, Sci-Fi^^^2021
The Suicide Squad^^^Action, Adventure, Comedy^^^2021
The Predator^^^Action, Adventure, Sci-Fi^^^2018
The Expanse^^^Drama, Mystery, Sci-Fi^^^2015
The X-Files^^^Crime, Drama, Mystery^^^1993
Jurassic World: Fallen Kingdom^^^Action, Adventure, Sci-Fi^^^2018
Jurassic World^^^Action, Adventure, Sci-Fi^^^2015
Predator^^^Action, Adventure, Sci-Fi^^^1987
She-Hulk^^^Action, Adventure, Comedy^^^2022
Donnie Darko^^^Drama, Mystery, Sci-Fi^^^2001
The Owl House^^^Animation, Action, Adventure^^^2020
Terminator 2: Judgment Day^^^Action, Sci-Fi^^^1991
Star Wars: Episode IV - A New Hope^^^Action, Adventure, Fantasy^^^1977
Altered Carbon^^^Action, Drama, Sci-Fi^^^2018
The Twilight Zone^^^Drama, Fantasy, Horror^^^1959
Fullmetal Alchemist: Brotherhood^^^Animation, Action, Adventure^^^2009
Valerian and the City of a Thousand Planets^^^Action, Adventure, Fantasy^^^2017
Edge of Tomorrow^^^Action, Adventure, Sci-Fi^^^2014
Justice League^^^Action, Adventure, Fantasy^^^2017
Debris^^^Drama, Mystery, Sci-Fi^^^2021
Men in Black: International^^^Action, Adventure, Comedy^^^2019
The Terminator^^^Action, Sci-Fi^^^1984
Captain America: Civil War^^^Action, Adventure, Sci-Fi^^^2016
The Dead Don't Die^^^Comedy, Fantasy, Horror^^^2019
Adventure Time^^^Animation, Action, Adventure^^^2010
Lovecraft Country^^^Drama, Fantasy, Horror^^^2020
A Clockwork Orange^^^Crime, Drama, Sci-Fi^^^1971
Bird Box^^^Horror, Sci-Fi^^^2018
DC League of Super-Pets^^^Animation, Action, Adventure^^^2022
Star Wars: Episode I - The Phantom Menace^^^Action, Adventure, Fantasy^^^1999
Home^^^Animation, Adventure, Comedy^^^2015
Star Trek: Picard^^^Action, Adventure, Drama^^^2020
X-Men Origins: Wolverine^^^Action, Sci-Fi^^^2009
Doctor Strange^^^Action, Adventure, Fantasy^^^2016
Mr. Mercedes^^^Mystery, Sci-Fi, Thriller^^^2017
Wonder Woman^^^Action, Adventure, Fantasy^^^2017
Jurassic World: Camp Cretaceous^^^Animation, Action, Adventure^^^2020
Star Trek: Enterprise^^^Action, Adventure, Drama^^^2001
Firefly^^^Adventure, Drama, Sci-Fi^^^2002
Gravity Falls^^^Animation, Adventure, Comedy^^^2012
Logan^^^Action, Drama, Sci-Fi^^^2017
Sense8^^^Drama, Mystery, Sci-Fi^^^2015
Glass^^^Drama, Sci-Fi, Thriller^^^2019
Escape Room^^^Action, Adventure, Horror^^^2019
The Martian^^^Adventure, Drama, Sci-Fi^^^2015
Terminator: Dark Fate^^^Action, Adventure, Sci-Fi^^^2019
28 Days Later...^^^Drama, Horror, Sci-Fi^^^2002
Futurama^^^Animation, Comedy, Sci-Fi^^^1999
Avatar 2^^^Action, Adventure, Sci-Fi^^^2022
Heroes^^^Drama, Fantasy, Sci-Fi^^^2006
Transformers^^^Action, Adventure, Sci-Fi^^^2007
