8.2,Eskiya,"TRL 1,200,000 (estimated)"
8.1,Mary and Max,"A$8,240,000 (estimated)"
8.3,Drishyam,"₹35,000,000 (estimated)"
8.2,Gangs of Wasseypur,"₹184,000,000 (estimated)"
8.1,La haine,"€2,590,000 (estimated)"
8.1,Rocky,"$960,000 (estimated)"
8.4,Paths of Glory,"$935,000 (estimated)"
8.3,Double Indemnity,"$927,262 (estimated)"
8.2,The Gold Rush,"$923,000 (estimated)"
8.1,On the Waterfront,"$910,000 (estimated)"
8.3,Citizen Kane,"$839,727 (estimated)"
8.5,Psycho,"$806,947 (estimated)"
8.1,The General,"$750,000 (estimated)"
8.2,Per qualche dollaro in più,"$600,000 (estimated)"
8.2,Chinatown,"$6,000,000 (estimated)"
8.1,Fanny och Alexander,"$6,000,000 (estimated)"
8.3,The Sting,"$5,500,000 (estimated)"
8.5,C'era una volta il West,"$5,000,000 (estimated)"
8.1,The Elephant Man,"$5,000,000 (estimated)"
8.2,Klaus,"$40,000,000 (estimated)"
8.2,The Great Escape,"$4,000,000 (estimated)"
9,12 Angry Men,"$350,000 (estimated)"
8.1,It Happened One Night,"$325,000 (estimated)"
8.1,Network,"$3,800,000 (estimated)"
8.1,Cool Hand Luke,"$3,200,000 (estimated)"
8.3,North by Northwest,"$3,101,000 (estimated)"
8.7,One Flew Over the Cuckoo's Nest,"$3,000,000 (estimated)"
8.4,Witness for the Prosecution,"$3,000,000 (estimated)"
8.3,The Apartment,"$3,000,000 (estimated)"
8.2,Judgment at Nuremberg,"$3,000,000 (estimated)"
8.1,The Bridge on the River Kwai,"$3,000,000 (estimated)"
8.3,The Kid,"$250,000 (estimated)"
8.1,Sunrise: A Song of Two Humans,"$200,000 (estimated)"
8.2,Some Like It Hot,"$2,883,848 (estimated)"
8.3,A Clockwork Orange,"$2,200,000 (estimated)"
8.4,The Great Dictator,"$2,000,000 (estimated)"
8.1,Hachiko: A Dog's Story,"$16,000,000 (estimated)"
8.2,Det sjunde inseglet,"$150,000 (estimated)"
8.1,The Deer Hunter,"$15,000,000 (estimated)"
8.1,Barry Lyndon,"$11,000,000 (estimated)"
8.1,Rebecca,"$1,288,000 (estimated)"
8.8,"Il buono, il brutto, il cattivo","$1,200,000 (estimated)"
8.5,Rear Window,"$1,000,000 (estimated)"
8.1,Kaze no tani no Naushika,"$1,000,000 (estimated)"
8.4,Avengers: Endgame,"$2,797,501,328 "
8.4,Avengers: Infinity War,"$2,048,359,754 "
8.1,Harry Potter and the Deathly Hallows: Part 2,"$1,342,321,665 "
8.9,The Lord of the Rings: The Return of the King,"$1,146,030,912 "
8.5,The Lion King,"$1,083,720,877 "
8.4,The Dark Knight Rises,"$1,081,142,612 "
8.4,Joker,"$1,074,354,306 "
8.2,Toy Story 3,"$1,066,970,811 "
8.1,Jurassic Park,"$1,033,928,303 "
9,The Dark Knight,"$1,005,973,645 "
8.7,The Lord of the Rings: The Two Towers,"$947,495,095 "
8.1,Finding Nemo,"$940,352,645 "
8.8,The Lord of the Rings: The Fellowship of the Ring,"$897,690,072 "
8.1,Inside Out,"$858,848,019 "
8.8,Inception,"$836,836,967 "
8.4,Coco,"$807,817,888 "
8.6,Star Wars,"$775,398,007 "
8.2,Up,"$735,099,102 "
8.6,Interstellar,"$701,729,206 "
8.8,Forrest Gump,"$678,226,133 "
8.1,The Sixth Sense,"$672,806,292 "
8.1,Logan,"$619,179,950 "
8.1,"Monsters, Inc.","$579,707,738 "
8.7,Star Wars: Episode V - The Empire Strikes Back,"$538,375,067 "
8.4,WALL·E,"$521,311,890 "
8.5,Terminator 2: Judgment Day,"$520,881,154 "
8.1,How to Train Your Dragon,"$494,879,471 "
8.6,Saving Private Ryan,"$482,349,603 "
8.3,Star Wars: Episode VI - Return of the Jedi,"$475,106,177 "
8.2,Indiana Jones and the Last Crusade,"$474,171,806 "
8.7,The Matrix,"$466,364,845 "
8.5,Gladiator,"$465,380,802 "
8.5,Intouchables,"$426,588,510 "
8.4,Django Unchained,"$426,074,373 "
